代码,名称,板块,今日涨幅(%),3日涨幅(%),5日涨幅(%),回踩天数,今日量/爆发量,爆发日强度,今日成交额(亿)
002668,TCL智家,白色家电,-2.19,4.26,3.53,1 天,31.0% (预估 62.0%),放量 3.0倍,1.32
601211,国泰海通,证券Ⅱ,-1.22,2.66,-0.28,2 天,31.1% (预估 62.2%),放量 1.6倍,13.01
300327,中颖电子,半导体,-0.47,3.75,10.3,2 天,31.1% (预估 62.3%),放量 2.0倍,3.87
300239,东宝生物,生物制品,-1.42,1.65,7.13,6 天,31.2% (预估 62.3%),放量 4.2倍,0.72
603458,勘设股份,工程咨询服务Ⅱ,-3.02,-1.94,5.53,4 天,31.2% (预估 62.4%),放量 1.7倍,1.65
300624,万兴科技,软件开发,-2.63,-2.65,1.89,3 天,31.2% (预估 62.5%),放量 2.1倍,2.71
600958,东方证券,证券Ⅱ,-1.44,4.34,0.84,2 天,31.4% (预估 62.8%),放量 3.0倍,4.58
300873,海晨股份,物流,-1.21,-5.25,1.94,3 天,31.4% (预估 62.8%),放量 2.7倍,0.8
300951,博硕科技,消费电子,-3.87,13.45,25.67,2 天,31.8% (预估 63.6%),放量 3.8倍,2.05
301210,金杨精密,电池,-2.78,-5.26,-3.74,5 天,32.0% (预估 64.0%),放量 1.8倍,0.74
300333,兆日科技,计算机设备,-6.08,6.1,-1.03,2 天,32.0% (预估 64.0%),放量 2.3倍,1.19
603093,南华期货,多元金融,-3.59,0.94,-5.73,2 天,32.1% (预估 64.2%),放量 1.6倍,1.72
601696,中银证券,证券Ⅱ,-1.52,1.49,-2.71,2 天,32.5% (预估 64.9%),放量 3.9倍,8.04
