板块,涨跌幅,amount,突破标的,相对强弱(X),动量加速度(Y),突破动能得分,1日先锋,核心中军
摩托车及其他,-0.899687145924032,2808443136.0,0,0.8918268424517727,0.9620793686411687,5,ST中路 (+5.1%),千里科技 (14.4亿)
教育,-1.4268455288556052,1345709832.0,0,0.36466845952019944,0.929545194244899,5,*ST高科 (+5.0%),中公教育 (4.4亿)
数字媒体,-4.313611105974331,2850229984.0,0,-2.522097117598527,0.9627324944132473,5,*ST返利 (+-1.3%),视觉中国 (7.4亿)
文娱用品,-1.0478627479508076,3183441260.0,0,0.7436512404249971,0.9676217648550641,5,英派斯 (+2.7%),群兴玩具 (11.7亿)
旅游及景区,-1.698740581426882,2379045304.0,0,0.09277340694892278,0.9547416427405307,5,ST张家界 (+2.7%),长白山 (2.6亿)
旅游零售Ⅱ,-1.3156369219035768,2980324256.0,0,0.4758770664722278,0.964706208961128,5,中国中免 (+-0.9%),中国中免 (28.2亿)
普钢,-2.2423191660813093,6641847870.0,0,-0.45080517770550466,1.0001435038893944,5,*ST八钢 (+0.0%),包钢股份 (22.4亿)
服装家纺,-0.935015912405008,5758892766.0,0,0.8564980759707966,0.9938355218393781,5,哈森股份 (+4.2%),比音勒芬 (3.5亿)
林业Ⅱ,-3.966301016160881,4103540394.0,0,-2.1747870277850767,0.9788490557526867,5,永安林业 (+-1.2%),平潭发展 (40.1亿)
橡胶,-0.4576545572815027,2306128076.0,0,1.333859431094302,0.9533650563482401,5,三维股份 (+3.2%),彤程新材 (9.9亿)
水泥,-0.9650915036725829,3987638262.0,1,0.8264224847032218,0.9775820655347841,15,宁夏建材 (+10.0%),上峰水泥 (6.6亿)
汽车服务,-2.374414765066257,405684440.0,0,-0.5829007766904521,0.8765190809249774,5,国机汽车 (+-1.2%),交运股份 (1.8亿)
汽车零部件,-2.0399000017567213,63249786740.0,2,-0.2483860133809166,1.0998056708658743,25,瑞玛精密 (+10.0%),山子高科 (49.1亿)
油服工程,-10.964389279132675,1719088146.0,0,-9.17287529075687,0.9403738292108563,5,*ST准油 (+5.0%),中曼石油 (3.7亿)
