代码,名称,板块,相关概念/板块,概念匹配说明,概念库命中数,涨跌幅(%),3日涨幅(%),5日涨幅(%),增量倍数,今日成交额(亿),常态均额(亿),逻辑标签
300415,伊之密,专用设备,专用设备,专用设备同池2只/热度20.3/领涨银宝山新,1,7.93,2.36,4.95,1.62,2.58,1.6,强势放量突破
000785,居然智家,一般零售,字节跳动概念、离境退税概念,字节跳动概念同池5只/热度56.7/领涨银信科技；离境退税概念同池6只/热度50.1/领涨中国中免,3,3.83,3.33,9.05,1.62,1.66,1.02,趋势放量异动
601601,中国太保,保险Ⅱ,保险Ⅱ,概念库未命中，回退到行业板块。,0,4.46,5.87,6.78,1.61,28.56,17.72,趋势放量异动
002918,蒙娜丽莎,家居用品,地产链,地产链同池5只/热度42.3/领涨海南高速,1,5.65,-0.53,1.19,1.61,1.62,1.01,强势放量突破
300740,水羊股份,化妆品,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,4,5.41,-1.65,-0.51,1.61,7.19,4.48,强势放量突破
600585,海螺水泥,水泥,水泥,概念库未命中，回退到行业板块。,0,4.62,3.16,3.7,1.61,8.44,5.25,趋势放量异动
001258,立新能源,电力,电力,电力同池5只/热度49.3/领涨三峡水利,1,4.43,2.4,3.95,1.61,1.55,0.97,趋势放量异动
688091,上海谊众,化学制药,化学制药,概念库未命中，回退到行业板块。,0,5.13,1.19,5.26,1.61,3.65,2.27,强势放量突破
300251,光线传媒,影视院线,关税战概念,关税战概念同池15只/热度176.9/领涨幸福蓝海,4,7.65,-2.82,-0.08,1.6,13.92,8.69,强势放量突破
002832,比音勒芬,服装家纺,服装家纺,概念库未命中，回退到行业板块。,0,4.54,6.86,10.11,1.6,3.02,1.88,趋势放量异动
001389,广合科技,元件,元件,概念库未命中，回退到行业板块。,0,5.64,12.12,8.26,1.6,38.76,24.16,强势放量突破
688617,惠泰医疗,医疗器械,医疗器械,概念库未命中，回退到行业板块。,0,4.41,3.96,12.81,1.59,6.31,3.96,趋势放量异动
601869,长飞光纤,通信设备,大厂算力梳理、通信设备,大厂算力梳理同池3只/热度24.9/领涨长飞光纤；通信设备同池2只/热度18.9/领涨亿联网络,5,6.31,2.51,3.77,1.58,104.95,66.52,强势放量突破
301509,金凯生科,医疗服务,医疗服务,医疗服务同池20只/热度254.2/领涨万邦医药,1,7.17,5.29,8.98,1.58,2.01,1.27,强势放量突破
688111,金山办公,软件开发,软件开发,概念库未命中，回退到行业板块。,0,6.32,1.26,8.64,1.57,30.77,19.58,强势放量突破
688520,神州细胞,生物制品,创新药进度整理,创新药进度整理同池26只/热度302.3/领涨阳光诺和,1,5.35,2.22,5.35,1.57,2.3,1.47,强势放量突破
002310,东方新能,电力,地方国资,地方国资同池8只/热度76.0/领涨东方新能,1,10.24,5.12,7.62,1.57,3.18,2.02,强势放量突破
301516,中远通,其他电源设备Ⅱ,中字头概念,中字头概念同池3只/热度29.7/领涨中国中免,1,3.5,-1.26,6.64,1.56,3.08,1.98,趋势放量异动
600702,舍得酒业,白酒Ⅱ,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,1,5.0,-1.13,2.18,1.56,4.6,2.95,强势放量突破
002244,滨江集团,房地产开发,地产链、房地产开发,地产链同池5只/热度42.3/领涨海南高速；房地产开发同池4只/热度31.6/领涨华联控股,1,5.08,2.48,5.61,1.55,3.52,2.27,强势放量突破
300997,欢乐家,饮料乳品,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,3,4.34,5.52,7.58,1.55,1.59,1.02,趋势放量异动
300111,向日葵,化学制药,化学制药,化学制药同池38只/热度425.3/领涨迪哲医药-U,1,5.71,2.07,7.25,1.55,3.13,2.01,强势放量突破
600048,保利发展,房地产开发,地产链、高股息,地产链同池5只/热度42.3/领涨海南高速；高股息同池5只/热度40.8/领涨华联控股,5,4.03,2.08,6.05,1.55,9.41,6.09,趋势放量异动
002251,步步高,一般零售,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,2,5.56,3.44,7.44,1.54,5.98,3.88,强势放量突破
301078,孩子王,专业连锁Ⅱ,服务消费概念、生育概念,服务消费概念同池12只/热度100.2/领涨巨人网络；生育概念同池8只/热度76.5/领涨众生药业,4,3.62,2.23,5.86,1.53,2.05,1.34,趋势放量异动
001979,招商蛇口,房地产开发,高股息、破净整理、房地产开发,高股息同池5只/热度43.4/领涨华联控股；破净整理同池4只/热度32.5/领涨首钢股份；房地产开发同池4只/热度29.6/领涨华联控股,2,5.37,0.76,3.09,1.53,7.01,4.58,强势放量突破
600761,安徽合力,工程机械,工程机械,概念库未命中，回退到行业板块。,0,4.47,3.25,3.0,1.52,2.74,1.8,趋势放量异动
002602,世纪华通,游戏Ⅱ,游戏Ⅱ,概念库未命中，回退到行业板块。,0,5.01,1.57,0.21,1.52,31.97,21.04,强势放量突破
003010,若羽臣,互联网电商,出海,出海同池9只/热度95.6/领涨赛维时代,3,9.99,8.24,4.6,1.51,2.16,1.43,强势放量突破
002197,证通电子,计算机设备,计算机设备,概念库未命中，回退到行业板块。,0,4.01,-0.18,0.53,1.51,1.6,1.06,趋势放量异动
000995,皇台酒业,白酒Ⅱ,复苏消费概念,复苏消费概念同池21只/热度202.4/领涨新华百货,1,4.03,0.9,7.36,1.5,1.55,1.04,趋势放量异动
000537,绿发电力,电力,电力,电力同池5只/热度49.3/领涨三峡水利,1,4.97,3.65,6.03,1.49,2.54,1.71,趋势放量异动
600403,大有能源,煤炭开采,并购重组预期概念,并购重组预期概念同池6只/热度64.0/领涨跨境通,3,9.96,14.66,16.8,1.49,3.73,2.51,强势放量突破
300649,杭州园林,基础建设,地产链,地产链同池5只/热度42.3/领涨海南高速,1,7.06,-0.76,6.34,1.48,1.93,1.31,强势放量突破
603444,吉比特,游戏Ⅱ,游戏Ⅱ、游戏,游戏Ⅱ同池5只/热度46.4/领涨巨人网络；游戏同池4只/热度39.8/领涨巨人网络,1,7.87,1.73,1.86,1.48,12.2,8.24,强势放量突破
300253,卫宁健康,软件开发,服务消费概念,服务消费概念同池12只/热度93.6/领涨巨人网络,4,3.81,-0.56,6.3,1.47,5.06,3.44,趋势放量异动
688658,悦康药业,化学制药,化学制药,概念库未命中，回退到行业板块。,0,5.96,3.15,5.96,1.47,3.27,2.22,强势放量突破
